Rank,Name,Networth,Networth in Billions,Age,Country,Source of wealth,Industry
1,Bernard Arnault & family,$211 ,"$211,000,000,000 ",74,France,LVMH,Fashion & Retail
2,Elon Musk,$180 ,"$180,000,000,000 ",51,United States,"Tesla, SpaceX",Automotive
3,Jeff Bezos,$114 ,"$114,000,000,000 ",59,United States,Amazon,Technology
4,Larry Ellison,$107 ,"$107,000,000,000 ",78,United States,Oracle,Technology
5,Warren Buffett,$106 ,"$106,000,000,000 ",92,United States,Berkshire Hathaway,Finance & Investments
6,Bill Gates,$104 ,"$104,000,000,000 ",67,United States,Microsoft,Technology
7,Michael Bloomberg,$94.50 ,"$94,500,000,000 ",81,United States,Bloomberg LP,Media & Entertainment
8,Carlos Slim Helu & family,$93 ,"$93,000,000,000 ",83,Mexico,Telecom,Telecom
9,Mukesh Ambani,$83.40 ,"$83,400,000,000 ",65,India,Diversified,Diversified
10,Steve Ballmer,$80.70 ,"$80,700,000,000 ",67,United States,Microsoft,Technology
11,Francoise Bettencourt Meyers & family,$80.50 ,"$80,500,000,000 ",69,France,L'Oréal,Fashion & Retail
12,Larry Page,$79.20 ,"$79,200,000,000 ",50,United States,Google,Technology
13,Amancio Ortega,$77.30 ,"$77,300,000,000 ",87,Spain,Zara,Fashion & Retail
14,Sergey Brin,$76 ,"$76,000,000,000 ",49,United States,Google,Technology
15,Zhong Shanshan,$68 ,"$68,000,000,000 ",68,China,"Beverages, pharmaceuticals",Food & Beverage
16,Mark Zuckerberg,$64.40 ,"$64,400,000,000 ",38,United States,Facebook,Technology
17,Charles Koch,$59 ,"$59,000,000,000 ",87,United States,Koch Industries,Diversified
17,Julia Koch & family,$59 ,"$59,000,000,000 ",60,United States,Koch Industries,Diversified
19,Jim Walton,$58.80 ,"$58,800,000,000 ",74,United States,Walmart,Fashion & Retail
20,Rob Walton,$57.60 ,"$57,600,000,000 ",78,United States,Walmart,Fashion & Retail
21,Alice Walton,$56.70 ,"$56,700,000,000 ",73,United States,Walmart,Fashion & Retail
22,David Thomson & family,$54.40 ,"$54,400,000,000 ",65,Canada,Media,Media & Entertainment
23,Michael Dell,$50.10 ,"$50,100,000,000 ",58,United States,Dell Technologies,Technology
24,Gautam Adani,$47.20 ,"$47,200,000,000 ",60,India,"Infrastructure, commodities",Diversified
25,Phil Knight & family,$45.10 ,"$45,100,000,000 ",85,United States,Nike,Fashion & Retail
26,Zhang Yiming,$45 ,"$45,000,000,000 ",39,China,TikTok,Technology
27,Dieter Schwarz,$42.90 ,"$42,900,000,000 ",83,Germany,Retail,Fashion & Retail
28,François Pinault & family,$40.10 ,"$40,100,000,000 ",86,France,Luxury goods,Fashion & Retail
29,Klaus-Michael Kuehne,$39.10 ,"$39,100,000,000 ",85,Germany,Shipping,Logistics
30,Giovanni Ferrero,$38.90 ,"$38,900,000,000 ",58,Italy,"Nutella, chocolates",Food & Beverage
31,Jacqueline Mars,$38.30 ,"$38,300,000,000 ",83,United States,"Candy, pet food",Food & Beverage
31,John Mars,$38.30 ,"$38,300,000,000 ",87,United States,"Candy, pet food",Food & Beverage
33,Li Ka-shing,$38 ,"$38,000,000,000 ",94,Hong Kong,Diversified,Diversified
34,Ma Huateng,$35.30 ,"$35,300,000,000 ",51,China,Internet media,Technology
35,Miriam Adelson & family,$35 ,"$35,000,000,000 ",77,United States,Casinos,Gambling & Casinos
35,Ken Griffin,$35 ,"$35,000,000,000 ",54,United States,Hedge funds,Finance & Investments
37,Mark Mateschitz,$34.70 ,"$34,700,000,000 ",30,Austria,Red Bull,Food & Beverage
38,Robin Zeng,$33.40 ,"$33,400,000,000 ",54,Hong Kong,Batteries,Automotive
39,Tadashi Yanai & family,$32.60 ,"$32,600,000,000 ",74,Japan,Fashion retail,Fashion & Retail
40,Len Blavatnik,$32.10 ,"$32,100,000,000 ",65,United States,"Music, chemicals",Diversified
41,Alain Wertheimer,$31.60 ,"$31,600,000,000 ",74,France,Chanel,Fashion & Retail
41,Gerard Wertheimer,$31.60 ,"$31,600,000,000 ",72,France,Chanel,Fashion & Retail
43,Gianluigi Aponte,$31.20 ,"$31,200,000,000 ",82,Switzerland,Shipping,Logistics
43,Rafaela Aponte-Diamant,$31.20 ,"$31,200,000,000 ",78,Switzerland,Shipping,Logistics
45,Colin Zheng Huang,$30.20 ,"$30,200,000,000 ",43,China,E-commerce,Technology
46,Reinhold Wuerth & family,$29.70 ,"$29,700,000,000 ",87,Germany,Fasteners,Manufacturing
47,Lee Shau Kee,$29.50 ,"$29,500,000,000 ",95,Hong Kong,Real estate,Real Estate
48,Jeff Yass,$28.50 ,"$28,500,000,000 ",64,United States,"Trading, investments",Finance & Investments
49,Jim Simons,$28.10 ,"$28,100,000,000 ",84,United States,Hedge funds,Finance & Investments
50,Stephen Schwarzman,$27.80 ,"$27,800,000,000 ",76,United States,Investments,Finance & Investments
51,Susanne Klatten,$27.40 ,"$27,400,000,000 ",60,Germany,"BMW, pharmaceuticals",Automotive
52,Gina Rinehart,$27 ,"$27,000,000,000 ",69,Australia,Mining,Metals & Mining
53,William Lei Ding,$26.70 ,"$26,700,000,000 ",51,China,Online games,Technology
54,Germán Larrea Mota Velasco & family,$26.60 ,"$26,600,000,000 ",69,Mexico,Mining,Metals & Mining
55,Shiv Nadar,$25.60 ,"$25,600,000,000 ",77,India,Software services,Technology
56,Low Tuck Kwong,$25.50 ,"$25,500,000,000 ",74,Indonesia,Coal,Energy
57,Thomas Peterffy,$25.30 ,"$25,300,000,000 ",78,United States,Discount brokerage,Finance & Investments
58,Andrey Melnichenko & family,$25.20 ,"$25,200,000,000 ",51,Russia,"Fertilizers, coal",Metals & Mining
59,Stefan Quandt,$24.60 ,"$24,600,000,000 ",56,Germany,BMW,Automotive
60,MacKenzie Scott,$24.40 ,"$24,400,000,000 ",52,United States,Amazon,Technology
61,R. Budi Hartono,$24.20 ,"$24,200,000,000 ",82,Indonesia,"Banking, tobacco",Finance & Investments
62,Vladimir Potanin,$23.70 ,"$23,700,000,000 ",62,Russia,Metals,Metals & Mining
63,Jack Ma,$23.50 ,"$23,500,000,000 ",58,China,E-commerce,Technology
64,He Xiangjian & family,$23.40 ,"$23,400,000,000 ",80,China,Home appliances,Manufacturing
65,Iris Fontbona & family,$23.10 ,"$23,100,000,000 ",80,Chile,Mining,Metals & Mining
65,Michael Hartono,$23.10 ,"$23,100,000,000 ",83,Indonesia,"Banking, tobacco",Manufacturing
67,James Ratcliffe,$22.90 ,"$22,900,000,000 ",70,United Kingdom,Chemicals,Manufacturing
68,Cyrus Poonawalla,$22.60 ,"$22,600,000,000 ",81,India,Vaccines,Healthcare
69,Masayoshi Son,$22.40 ,"$22,400,000,000 ",65,Japan,"Internet, telecom",Telecom
70,Vladimir Lisin,$22.10 ,"$22,100,000,000 ",66,Russia,"Steel, transport",Metals & Mining
71,Emmanuel Besnier,$22 ,"$22,000,000,000 ",52,France,Cheese,Food & Beverage
72,Abigail Johnson,$21.60 ,"$21,600,000,000 ",61,United States,Fidelity,Finance & Investments
72,Leonid Mikhelson & family,$21.60 ,"$21,600,000,000 ",67,Russia,"Gas, chemicals",Energy
74,Lukas Walton,$21.20 ,"$21,200,000,000 ",36,United States,Walmart,Fashion & Retail
74,Wang Wei,$21.20 ,"$21,200,000,000 ",52,China,Package delivery,Service
76,Jensen Huang,$21.10 ,"$21,100,000,000 ",60,United States,Semiconductors,Technology
77,Leonard Lauder,$21 ,"$21,000,000,000 ",90,United States,Estee Lauder,Fashion & Retail
77,Takemitsu Takizaki,$21 ,"$21,000,000,000 ",77,Japan,Sensors,Manufacturing
79,Alexey Mordashov & family,$20.90 ,"$20,900,000,000 ",57,Russia,"Steel, investments",Metals & Mining
80,Vagit Alekperov,$20.50 ,"$20,500,000,000 ",72,Russia,Oil,Energy
81,"Thomas Frist, Jr. & family",$20.20 ,"$20,200,000,000 ",84,United States,Hospitals,Healthcare
82,Andrew Forrest,$19.60 ,"$19,600,000,000 ",61,Australia,Mining,Metals & Mining
83,Ray Dalio,$19.10 ,"$19,100,000,000 ",73,United States,Hedge funds,Finance & Investments
84,Li Shufu,$19 ,"$19,000,000,000 ",59,China,Automobiles,Automotive
84,Wang Wenyin,$19 ,"$19,000,000,000 ",55,China,"Mining, copper products",Metals & Mining
86,Eyal Ofer,$18.90 ,"$18,900,000,000 ",72,Israel,"Real estate, shipping",Diversified
86,Qin Yinglin,$18.90 ,"$18,900,000,000 ",57,China,Pig breeding,Food & Beverage
88,Wang Chuanfu,$18.70 ,"$18,700,000,000 ",57,China,"Batteries, automobiles",Automotive
89,Harold Hamm & family,$18.50 ,"$18,500,000,000 ",77,United States,Oil & gas,Energy
89,David Tepper,$18.50 ,"$18,500,000,000 ",65,United States,Hedge funds,Finance & Investments
89,Gennady Timchenko,$18.50 ,"$18,500,000,000 ",70,Russia,"Oil, gas",Energy
92,Daniel Gilbert,$18 ,"$18,000,000,000 ",61,United States,Quicken Loans,Finance & Investments
93,Lakshmi Mittal,$17.70 ,"$17,700,000,000 ",72,India,Steel,Metals & Mining
94,Steve Cohen,$17.50 ,"$17,500,000,000 ",66,United States,Hedge funds,Finance & Investments
94,Carl Icahn,$17.50 ,"$17,500,000,000 ",87,United States,Investments,Finance & Investments
94,Savitri Jindal & family,$17.50 ,"$17,500,000,000 ",73,India,Steel,Metals & Mining
97,Donald Bren,$17.40 ,"$17,400,000,000 ",90,United States,Real estate,Real Estate
97,"John Menard, Jr.",$17.40 ,"$17,400,000,000 ",83,United States,Home improvement stores,Fashion & Retail
99,Rupert Murdoch & family,$17.10 ,"$17,100,000,000 ",92,United States,"Newspapers, TV network",Media & Entertainment
100,Vicky Safra & family,$16.70 ,"$16,700,000,000 ",70,Brazil,Banking,Finance & Investments
101,"Theo Albrecht, Jr. & family",$16.50 ,"$16,500,000,000 ",72,Germany,"Aldi, Trader Joe's",Fashion & Retail
101,Renata Kellnerova & family,$16.50 ,"$16,500,000,000 ",55,Czech Republic,"Finance, telecommunications",Finance & Investments
103,Li Xiting,$16.30 ,"$16,300,000,000 ",72,Singapore,medical devices,Healthcare
104,Stefan Persson,$16.20 ,"$16,200,000,000 ",75,Sweden,H&M,Fashion & Retail
104,Eric Schmidt,$16.20 ,"$16,200,000,000 ",67,United States,Google,Technology
106,Michael Platt,$16 ,"$16,000,000,000 ",55,United Kingdom,Hedge funds,Finance & Investments
107,Pang Kang,$15.90 ,"$15,900,000,000 ",67,China,Soy sauce,Food & Beverage
108,Karl Albrecht Jr. & family,$15.80 ,"$15,800,000,000 ",N/A,Germany,Supermarkets,Fashion & Retail
108,Beate Heister,$15.80 ,"$15,800,000,000 ",N/A,Germany,Supermarkets,Fashion & Retail
108,Jorge Paulo Lemann & family,$15.80 ,"$15,800,000,000 ",83,Brazil,Beer,Food & Beverage
108,Peter Woo,$15.80 ,"$15,800,000,000 ",76,Hong Kong,Real estate,Real Estate
112,Dilip Shanghvi,$15.60 ,"$15,600,000,000 ",67,India,Pharmaceuticals,Healthcare
113,Robert Pera,$15.50 ,"$15,500,000,000 ",45,United States,Wireless networking,Technology
114,Radhakishan Damani,$15.30 ,"$15,300,000,000 ",68,India,"Retail, investments",Fashion & Retail
115,Huang Shilin,$15.20 ,"$15,200,000,000 ",56,China,Batteries,Automotive
116,Dhanin Chearavanont,$14.90 ,"$14,900,000,000 ",83,Thailand,Diversified,Diversified
116,David Green & family,$14.90 ,"$14,900,000,000 ",81,United States,Retail,Fashion & Retail
118,Charoen Sirivadhanabhakdi,$14.80 ,"$14,800,000,000 ",78,Thailand,"Alcohol, real estate",Food & Beverage
119,Charlene de Carvalho-Heineken & family,$14.70 ,"$14,700,000,000 ",68,Netherlands,Heineken,Food & Beverage
120,Xu Hang,$14.60 ,"$14,600,000,000 ",56,Hong Kong,Medical devices,Healthcare
121,Wei Jianjun & family,$14.50 ,"$14,500,000,000 ",59,China,Automobiles,Automotive
122,Alisher Usmanov,$14.40 ,"$14,400,000,000 ",69,Russia,"Steel, telecom, investments",Metals & Mining
123,Goh Cheng Liang,$14.30 ,"$14,300,000,000 ",95,Singapore,Paints,Manufacturing
124,Kumar Birla,$14.20 ,"$14,200,000,000 ",55,India,Commodities,Diversified
124,Aliko Dangote,$14.20 ,"$14,200,000,000 ",65,Nigeria,"Cement, sugar",Manufacturing
126,Kwong Siu-hing,$14.10 ,"$14,100,000,000 ",93,Hong Kong,Real estate,Real Estate
127,Idan Ofer,$14 ,"$14,000,000,000 ",67,Israel,Shipping,Diversified
128,Chen Bang,$13.90 ,"$13,900,000,000 ",57,China,Hospitals,Healthcare
128,Lui Che Woo,$13.90 ,"$13,900,000,000 ",94,Hong Kong,Casinos/hotels,Gambling & Casinos
130,John Fredriksen,$13.70 ,"$13,700,000,000 ",78,Cyprus,Shipping,Logistics
130,Diane Hendricks,$13.70 ,"$13,700,000,000 ",76,United States,Building supplies,Construction & Engineering
130,Jan Koum,$13.70 ,"$13,700,000,000 ",47,United States,WhatsApp,Technology
133,Jerry Jones,$13.30 ,"$13,300,000,000 ",80,United States,Dallas Cowboys,Sports
133,George Kaiser,$13.30 ,"$13,300,000,000 ",80,United States,"Oil & gas, banking",Energy
133,Joseph Lau,$13.30 ,"$13,300,000,000 ",71,Hong Kong,Real estate,Real Estate
136,Lu Xiangyang,$13.20 ,"$13,200,000,000 ",60,China,"Automobiles, batteries",Automotive
137,Harry Triguboff,$13.10 ,"$13,100,000,000 ",90,Australia,Real estate,Real Estate
138,Uday Kotak,$12.90 ,"$12,900,000,000 ",64,India,Banking,Finance & Investments
138,Stanley Kroenke,$12.90 ,"$12,900,000,000 ",75,United States,"Sports, real estate",Sports
140,Mikhail Fridman,$12.60 ,"$12,600,000,000 ",58,Russia,"Oil, banking, telecom",Energy
141,Sarath Ratanavadi,$12.30 ,"$12,300,000,000 ",57,Thailand,Energy,Energy
142,Dang Yanbao,$12.20 ,"$12,200,000,000 ",50,China,Coal,Metals & Mining
142,Jiang Rensheng & family,$12.20 ,"$12,200,000,000 ",69,China,Vaccines,Healthcare
144,Shahid Khan,$12.10 ,"$12,100,000,000 ",72,United States,Auto parts,Automotive
145,Laurene Powell Jobs & family,$12 ,"$12,000,000,000 ",59,United States,"Apple, Disney",Technology
146,Robert Kuok,$11.80 ,"$11,800,000,000 ",99,Malaysia,"Palm oil, shipping, property",Diversified
147,Stephen Ross,$11.60 ,"$11,600,000,000 ",82,United States,Real estate,Real Estate
148,Pavel Durov,$11.50 ,"$11,500,000,000 ",38,United Arab Emirates,Messaging app,Technology
148,Andreas Struengmann & family,$11.50 ,"$11,500,000,000 ",73,Germany,Pharmaceuticals,Healthcare
148,Thomas Struengmann & family,$11.50 ,"$11,500,000,000 ",73,Germany,Pharmaceuticals,Healthcare
151,Liu Hanyuan,$11.40 ,"$11,400,000,000 ",59,China,Agribusiness,Food & Beverage
151,Michael Rubin,$11.40 ,"$11,400,000,000 ",50,United States,Online retail,Fashion & Retail
153,Israel Englander,$11.30 ,"$11,300,000,000 ",74,United States,Hedge funds,Finance & Investments
153,Viatcheslav Kantor,$11.30 ,"$11,300,000,000 ",69,Russia,"Fertilizer, real estate",Manufacturing
153,Anthony Pratt,$11.30 ,"$11,300,000,000 ",62,Australia,Manufacturing,Manufacturing
153,Mikhail Prokhorov,$11.30 ,"$11,300,000,000 ",57,Russia,Investments,Finance & Investments
157,Giorgio Armani,$11.10 ,"$11,100,000,000 ",88,Italy,Luxury goods,Fashion & Retail
157,Johann Rupert & family,$11.10 ,"$11,100,000,000 ",72,South Africa,Luxury goods,Fashion & Retail
159,Gong Hongjia & family,$11 ,"$11,000,000,000 ",58,Hong Kong,Video surveillance,Finance & Investments
159,Zhang Zhidong,$11 ,"$11,000,000,000 ",51,China,Internet media,Technology
161,Philip Anschutz,$10.90 ,"$10,900,000,000 ",83,United States,"Energy, sports, entertainment",Finance & Investments
161,Judy Love & family,$10.90 ,"$10,900,000,000 ",85,United States,Gas stations,Fashion & Retail
161,Ricardo Salinas Pliego & family,$10.90 ,"$10,900,000,000 ",67,Mexico,"Retail, media",Fashion & Retail
164,Donald Newhouse,$10.70 ,"$10,700,000,000 ",93,United States,Media,Media & Entertainment
165,Robert Kraft,$10.60 ,"$10,600,000,000 ",81,United States,"Manufacturing, New England Patriots",Sports
165,Marcel Herrmann Telles,$10.60 ,"$10,600,000,000 ",73,Brazil,Beer,Food & Beverage
167,Suleiman Kerimov & family,$10.50 ,"$10,500,000,000 ",57,Russia,Gold,Finance & Investments
167,Chris Xu,$10.50 ,"$10,500,000,000 ",39,China,E-commerce,Fashion & Retail
167,Changpeng Zhao,$10.50 ,"$10,500,000,000 ",45,Canada,Cryptocurrency exchange,Finance & Investments
170,Andrew Beal,$10.30 ,"$10,300,000,000 ",70,United States,"Banks, real estate",Finance & Investments
171,Mike Cannon-Brookes,$10.20 ,"$10,200,000,000 ",43,Australia,Software,Technology
171,Carl Cook,$10.20 ,"$10,200,000,000 ",60,United States,Medical devices,Healthcare
171,David Duffield,$10.20 ,"$10,200,000,000 ",82,United States,Business software,Technology
171,Jeffery Hildebrand,$10.20 ,"$10,200,000,000 ",64,United States,Oil,Energy
171,Viktor Rashnikov,$10.20 ,"$10,200,000,000 ",74,Russia,Steel,Manufacturing
171,Eduardo Saverin,$10.20 ,"$10,200,000,000 ",41,Brazil,Facebook,Technology
171,Georg Schaeffler,$10.20 ,"$10,200,000,000 ",58,Germany,Auto parts,Automotive
171,Christy Walton,$10.20 ,"$10,200,000,000 ",74,United States,Walmart,Fashion & Retail
179,Scott Farquhar,$10.10 ,"$10,100,000,000 ",43,Australia,Software,Technology
179,Quek Leng Chan,$10.10 ,"$10,100,000,000 ",81,Malaysia,"Banking, property",Diversified
179,Wu Yajun,$10.10 ,"$10,100,000,000 ",59,China,Real estate,Real Estate
182,Autry Stephens,$10 ,"$10,000,000,000 ",85,United States,Oil,Energy
183,Liu Yongxing,$9.90 ,"$9,900,000,000 ",74,China,Diversified,Service
184,Vinod Adani,$9.80 ,"$9,800,000,000 ",74,Cyprus,"Infrastructure, commodities",Diversified
184,Nicolas Puech,$9.80 ,"$9,800,000,000 ",80,France,Hermes,Fashion & Retail
184,"Jacques Saadé, Jr.",$9.80 ,"$9,800,000,000 ",51,France,Shipping,Logistics
184,Rodolphe Saadé,$9.80 ,"$9,800,000,000 ",53,France,Shipping,Logistics
184,Tanya Saadé Zeenny,$9.80 ,"$9,800,000,000 ",55,France,Shipping,Logistics
184,Melker Schorling & family,$9.80 ,"$9,800,000,000 ",75,Sweden,Investments,Finance & Investments
190,Andrei Guriev & family,$9.70 ,"$9,700,000,000 ",63,Russia,Fertilizers,Manufacturing
190,Michael Kim,$9.70 ,"$9,700,000,000 ",59,United States,Private equity,Finance & Investments
190,Lei Jun,$9.70 ,"$9,700,000,000 ",53,China,Smartphones,Technology
190,Friedhelm Loh,$9.70 ,"$9,700,000,000 ",76,Germany,Manufacturing,Manufacturing
190,Sun Piaoyang,$9.70 ,"$9,700,000,000 ",64,China,Pharmaceuticals,Healthcare
195,Rick Cohen & family,$9.60 ,"$9,600,000,000 ",70,United States,Warehouse automation,Technology
195,Jin Baofang,$9.60 ,"$9,600,000,000 ",70,China,Solar panels,Energy
195,Luo Liguo & family,$9.60 ,"$9,600,000,000 ",67,China,Chemicals,Others
195,Marijke Mars,$9.60 ,"$9,600,000,000 ",58,United States,"Candy, pet food",Others
195,Pamela Mars,$9.60 ,"$9,600,000,000 ",62,United States,"Candy, pet food",Others
195,Valerie Mars,$9.60 ,"$9,600,000,000 ",64,United States,"Candy, pet food",Others
195,Victoria Mars,$9.60 ,"$9,600,000,000 ",66,United States,"Candy, pet food",Others
202,Vincent Bolloré & family,$9.50 ,"$9,500,000,000 ",71,France,Investments,Others
202,Jim Pattison,$9.50 ,"$9,500,000,000 ",94,Canada,Diversified,Others
204,Ernesto Bertarelli,$9.40 ,"$9,400,000,000 ",57,Switzerland,"Biotech, investments",Others
204,Wang Xing,$9.40 ,"$9,400,000,000 ",44,China,E-commerce,Others
206,Brian Chesky,$9.30 ,"$9,300,000,000 ",41,United States,Airbnb,Others
206,James Dyson,$9.30 ,"$9,300,000,000 ",75,United Kingdom,Vacuums,Others
208,Roman Abramovich & family,$9.20 ,"$9,200,000,000 ",56,Russia,"Steel, investments",Others
208,Antonia Ax:son Johnson & family,$9.20 ,"$9,200,000,000 ",79,Sweden,Diversified,Others
208,Daniel Kretinsky,$9.20 ,"$9,200,000,000 ",47,Czech Republic,"Energy, investments",Others
208,John Malone,$9.20 ,"$9,200,000,000 ",82,United States,Cable television,Others
208,Azim Premji,$9.20 ,"$9,200,000,000 ",77,India,Software services,Others
208,Charles Schwab,$9.20 ,"$9,200,000,000 ",85,United States,Discount brokerage,Others
208,Eric Smidt,$9.20 ,"$9,200,000,000 ",63,United States,Hardware stores,Others
215,David Cheriton,$9 ,"$9,000,000,000 ",72,Canada,Google,Others
215,Ivan Glasenberg,$9 ,"$9,000,000,000 ",66,Switzerland,Mining,Others
215,Alexander Otto,$9 ,"$9,000,000,000 ",55,Germany,Real estate,Others
215,Anthony von Mandl,$9 ,"$9,000,000,000 ",73,Canada,Alcoholic beverages,Others
215,Wang Liping & family,$9 ,"$9,000,000,000 ",57,China,Hydraulic machinery,Others
220,Finn Rausing,$8.90 ,"$8,900,000,000 ",68,Sweden,Packaging,Others
220,Jorn Rausing,$8.90 ,"$8,900,000,000 ",63,Sweden,Packaging,Others
220,Kirsten Rausing,$8.90 ,"$8,900,000,000 ",70,Sweden,Packaging,Others
223,Tatyana Bakalchuk,$8.80 ,"$8,800,000,000 ",47,Russia,Ecommerce,Others
223,John Doerr,$8.80 ,"$8,800,000,000 ",71,United States,Venture capital,Others
223,Richard Liu,$8.80 ,"$8,800,000,000 ",49,China,E-commerce,Others
223,Dustin Moskovitz,$8.80 ,"$8,800,000,000 ",38,United States,Facebook,Others
223,Pierre Omidyar,$8.80 ,"$8,800,000,000 ",55,United States,"EBay, PayPal",Others
223,Pei Zhenhua,$8.80 ,"$8,800,000,000 ",64,China,Batteries,Others
223,Carrie Perrodo & family,$8.80 ,"$8,800,000,000 ",72,France,Oil,Others
230,Chen Jianhua,$8.70 ,"$8,700,000,000 ",52,China,Chemicals,Others
230,Michael Otto,$8.70 ,"$8,700,000,000 ",79,Germany,"Retail, real estate",Others
232,Leon Black,$8.60 ,"$8,600,000,000 ",71,United States,Private equity,Others
232,Graeme Hart,$8.60 ,"$8,600,000,000 ",67,New Zealand,Investments,Others
232,Ravi Jaipuria,$8.60 ,"$8,600,000,000 ",68,India,"Soft drinks, fast food",Others
232,Hasso Plattner & family,$8.60 ,"$8,600,000,000 ",79,Germany,Software,Others
232,Carlos Alberto Sicupira & family,$8.60 ,"$8,600,000,000 ",75,Brazil,Beer,Others
232,Manuel Villar,$8.60 ,"$8,600,000,000 ",73,Philippines,Real estate,Others
232,Andreas von Bechtolsheim & family,$8.60 ,"$8,600,000,000 ",67,Germany,Google,Others
239,"Chase Coleman, III.",$8.50 ,"$8,500,000,000 ",47,United States,Investments,Others
239,Ann Walton Kroenke,$8.50 ,"$8,500,000,000 ",74,United States,Walmart,Others
239,Li Zhenguo & family,$8.50 ,"$8,500,000,000 ",55,China,Solar wafers and modules,Others
242,Jim Kennedy,$8.40 ,"$8,400,000,000 ",75,United States,"Media, automotive",Others
242,Nicky Oppenheimer & family,$8.40 ,"$8,400,000,000 ",77,South Africa,Diamonds,Others
242,Blair Parry-Okeden,$8.40 ,"$8,400,000,000 ",72,United States,"Media, automotive",Others
242,Zheng Shuliang & family,$8.40 ,"$8,400,000,000 ",77,China,Aluminum products,Others
246,John Morris,$8.30 ,"$8,300,000,000 ",75,United States,Sporting goods retail,Others
246,Stefano Pessina,$8.30 ,"$8,300,000,000 ",81,Monaco,Drugstores,Others
246,Francine von Finck & family,$8.30 ,"$8,300,000,000 ",N/A,Germany,Investments,Others
249,Francis Choi,$8.20 ,"$8,200,000,000 ",75,Hong Kong,Real estate,Others
249,German Khan,$8.20 ,"$8,200,000,000 ",61,Russia,"Oil, banking, telecom",Others
249,Abdulsamad Rabiu,$8.20 ,"$8,200,000,000 ",62,Nigeria,"Cement, sugar",Others
249,George Roberts,$8.20 ,"$8,200,000,000 ",79,United States,Private equity,Others
249,Kushal Pal Singh,$8.20 ,"$8,200,000,000 ",91,India,Real estate,Others
249,Wang Jianlin,$8.20 ,"$8,200,000,000 ",68,China,Real estate,Others
249,Yang Huiyan & family,$8.20 ,"$8,200,000,000 ",41,China,Real estate,Others
256,Laurent Dassault,$8.10 ,"$8,100,000,000 ",69,France,Diversified,Others
256,Thierry Dassault,$8.10 ,"$8,100,000,000 ",66,France,Diversified,Others
256,Tilman Fertitta,$8.10 ,"$8,100,000,000 ",65,United States,"Houston Rockets, entertainment",Others
256,Marie-Hélène Habert-Dassault,$8.10 ,"$8,100,000,000 ",58,France,Diversified,Others
256,Karel Komarek,$8.10 ,"$8,100,000,000 ",54,Czech Republic,"Oil and gas, IT, lotteries",Others
261,Nathan Blecharczyk,$8 ,"$8,000,000,000 ",39,United States,Airbnb,Others
261,Leonid Fedun,$8 ,"$8,000,000,000 ",66,Russia,Oil,Others
261,Bernard Marcus,$8 ,"$8,000,000,000 ",93,United States,Home Depot,Others
261,Patrick Ryan,$8 ,"$8,000,000,000 ",85,United States,Insurance,Others
261,Robert F. Smith,$8 ,"$8,000,000,000 ",60,United States,Private equity,Others
261,Pavel Tykac,$8 ,"$8,000,000,000 ",58,Czech Republic,Coal mines,Others
261,Eric Wittouck,$8 ,"$8,000,000,000 ",76,Belgium,Investments,Others
268,Orlando Bravo,$7.90 ,"$7,900,000,000 ",52,United States,Private equity,Others
268,Ding Shizhong & family,$7.90 ,"$7,900,000,000 ",52,China,Sports apparel,Others
268,Nancy Walton Laurie,$7.90 ,"$7,900,000,000 ",71,United States,Walmart,Others
268,Jay Y. Lee,$7.90 ,"$7,900,000,000 ",54,South Korea,Samsung,Others
268,Ramzi Musallam,$7.90 ,"$7,900,000,000 ",54,United States,Private equity,Others
268,David Shaw,$7.90 ,"$7,900,000,000 ",72,United States,Hedge funds,Others
268,Andrei Skoch & family,$7.90 ,"$7,900,000,000 ",57,Russia,Metals and mining,Others
268,Georg Stumpf,$7.90 ,"$7,900,000,000 ",50,Austria,"Real estate, construction",Others
276,Rocco Commisso,$7.80 ,"$7,800,000,000 ",73,United States,Telecom,Others
276,Li Shuirong,$7.80 ,"$7,800,000,000 ",66,China,Petrochemicals,Others
276,Lin Shu-hong,$7.80 ,"$7,800,000,000 ",94,Taiwan,Petrochemicals,Others
276,Qi Shi & family,$7.80 ,"$7,800,000,000 ",53,China,Financial information,Others
276,Yao Liangsong,$7.80 ,"$7,800,000,000 ",58,China,Furniture,Others
276,Zhang Congyuan,$7.80 ,"$7,800,000,000 ",75,Taiwan,Shoes,Others
282,Jean-Michel Besnier,$7.70 ,"$7,700,000,000 ",55,France,Cheese,Others
282,Marie Besnier Beauvalot,$7.70 ,"$7,700,000,000 ",42,France,Cheese,Others
282,David Geffen,$7.70 ,"$7,700,000,000 ",80,United States,"Movies, record labels",Others
282,Robin Li,$7.70 ,"$7,700,000,000 ",54,China,Internet search,Others
282,Liu Yonghao & family,$7.70 ,"$7,700,000,000 ",71,China,Agribusiness,Others
282,Henry Samueli,$7.70 ,"$7,700,000,000 ",68,United States,Semiconductors,Others
282,Reinhold Schmieding,$7.70 ,"$7,700,000,000 ",68,United States,Medical devices,Others
282,Ivar Tollefsen,$7.70 ,"$7,700,000,000 ",61,Norway,Real estate,Others
290,Cao Renxian,$7.60 ,"$7,600,000,000 ",54,China,Photovoltaic equipment,Others
290,Hasmukh Chudgar & family,$7.60 ,"$7,600,000,000 ",89,India,Pharmaceuticals,Others
